,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
55,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:57:45,@Vintage1983V @jasonsfolly @CHIMPSINSOCKS @davidwalliams @alexandramusic @daraobriain @ShobnaGulati… https://t.co/MFcvAbtf6A,56
56,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 21:57:39,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,57
57,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 21:57:22,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,58
58,-0.3089,0.148,0.148,0.0,@BBC,2018-06-08 21:57:05,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",59
59,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:56:21,RT @MaristShame: @TheScotsman Scottish schools .....@Kinharvie_MP @Kinharvie_GD @BBC @SkyNews @ABC @leocushley @Pontifex @policescotland @M…,60
60,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:55:43,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",61
61,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:55:42,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",62
62,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:55:10,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",63
63,0.8934,0.0,0.0,0.416,@BBC,2018-06-08 21:54:25,"RT @jasonsfolly: Glorious day celebrating young talent at the #500words jamboree. Reunited with the luminous @CHIMPSINSOCKS, fanboyed shame…",64
64,-0.6705,0.175,0.175,0.0,@BBC,2018-06-08 21:53:32,"RT @onhistodd: This is Mitch Benn who works on @BBC RADIO 4, we pay this Gammon his wages, and he represents the @BBC in the worst light wi…",65
65,0.6705,0.0,0.0,0.193,@BBC,2018-06-08 21:53:22,RT @martycon73: New poll out this morning for the @bbc shows support for a United Ireland 'neck and neck'. So a lot closer than the DUP and…,66
66,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:53:17,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",67
67,-0.1027,0.142,0.142,0.17,@BBC,2018-06-08 21:52:45,@Paul83Bottomley @illuminatus @onhistodd @BBC Is it wrong that I want to play an uromancer in my next d and d campaign,68
68,0.5719,0.0,0.0,0.176,@BBC,2018-06-08 21:52:39,RT @TheWomenOfWho: Who else played the Doctor Who Adventure Games? This show has SO many potential stories that it could base video games o…,69
69,0.0,0.0,0.0,0.0,@BBC,2018-06-08 21:52:30,"RT @BBC: 🌊💙 A message from Sir David Attenborough for #WorldOceansDay. 
 https://t.co/778x4RMMRv",70
