,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
256,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:26,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,21
257,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:25,"@CNN There’s something behind this, somehow.",22
258,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:24,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,23
259,-0.4404,0.142,0.142,0.067,@CNN,2018-03-29 18:14:23,"RT @eh3810: @ingrahamangle
@davidhogg111 
@cnn

How dare you invoke religion “in the spirit of Holy Week”. You didn’t give a shit about rel…",24
260,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:23,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,25
261,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:22,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,26
262,-0.5884,0.206,0.206,0.058,@CNN,2018-03-29 18:14:21,RT @ElderLansing: So LeBron James supports the March For Our Lies gun grab but in 2014 he and his wife visited Lock and Load gun range in M…,27
263,-0.5696,0.38,0.38,0.0,@CNN,2018-03-29 18:14:20,@CNN 98% polled were democrats ! Fake news !,28
264,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:20,"If this was the comment made, it is then an attempt at #history being rewritten by @CNN https://t.co/5weDpiTrA9",29
265,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:20,"RT @rameshchahal: #SaintMSG_Initiative57
#मुफ्त_हक
खर्चीली न्याय प्रणाली व्यवस्था से निपटने के लिये @derasachasauda ने 684 वकीलों का पैनल ब…",30
266,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:14:19,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",31
267,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:18,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,32
268,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:18,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,33
269,0.2732,0.102,0.102,0.2,@CNN,2018-03-29 18:14:18,"RT @FFRBookSeries: Holocaust mini-memorials go missing amid far-right backlash 

Germany's far-right party AfD is challenging not just Demn…",34
270,0.0,0.0,0.0,0.0,@CNN,2018-03-29 18:14:18,@Berlin8465 @cnni @CNN 😂😂😂,35
271,0.2023,0.193,0.193,0.255,@CNN,2018-03-29 18:14:17,"RT @CNN: This curious cheetah hopped into a car on a safari trip. Thankfully, everyone remained calm, and no one was hurt https://t.co/2BxR…",36
272,0.3786,0.0,0.0,0.156,@CNN,2018-03-29 18:14:17,"RT @jjordancox: .@CNN Boardroom: ""His vision is actually working, quick! change the narrative!"" @realDonaldTrump https://t.co/ld2bJKcdxO",37
273,-0.5859,0.21,0.21,0.076,@CNN,2018-03-29 18:14:15,@UNreal_Donald_T @JonJusth @POTUS @CNN @MSNBC @maddow @Lawrence Could be or some potent emotional killing method of… https://t.co/Ze5UDxbUEB,38
274,0.4939,0.0,0.0,0.144,@CNN,2018-03-29 18:14:14,"RT @ryanstruyk: Key stat from @CNN poll on 2018 midterm congressional vote --&gt;

Extremely/very enthusiastic to vote:
Democrats 60%
Republic…",39
275,-0.4588,0.158,0.158,0.0,@CNN,2018-03-29 18:14:14,"RT @CNN: Sears CEO Eddie Lampert got a  24% raise last year, despite the company's financial troubles https://t.co/a70k7RcA1v",40
276,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:13,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,41
277,0.5267,0.168,0.168,0.336,@CNN,2018-03-29 18:14:13,RT @CNN: A 12-year-old boy who survived cancer finally got his wish: a kiss from Pope Francis https://t.co/KaRc60GdZu https://t.co/QUhA0Y7T…,42
278,-0.3818,0.102,0.102,0.0,@CNN,2018-03-29 18:14:11,RT @CNN: JUST IN: Russia is expelling US diplomats and closing the US consulate in St. Petersburg in retaliation for a similar move by Wash…,43
279,-0.2263,0.174,0.174,0.0,@CNN,2018-03-29 18:14:11,@owen_walkley @CNN 👇🏼👇🏼👇🏼knowing what we’ve suspected all along 👇🏼👇🏼👇🏼 https://t.co/VFrM0Tb37X,44
280,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:10,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,45
281,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:09,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,46
282,-0.6739,0.43,0.43,0.0,@CNN,2018-03-29 18:14:09,"@President1Trump @POTUS @wolfblitzer @CNN #SCOREBOARD, POTUS - 1 SLUT - 0",47
283,-0.4753,0.128,0.128,0.0,@CNN,2018-03-29 18:14:09,RT @President1Trump: #BREAKING Judge denies stormy Daniels motion to depose @POTUS! Take that @wolfblitzer &amp; all of you creepers at @CNN ht…,48
